Sample ID,SEAL AQ2 Test,Absorbance,Results,Units,Analyst,Man Dil Factor,Auto Dil Factor,Date and Time
ICV,TKN Cu,0.312503,0.393,mg N_L,adm,1,1,7/14/2017 11:31
MB,TKN Cu,0.237896,-0.015,mg N_L,adm,1,1,7/14/2017 11:32
BS,TKN Cu,0.420156,0.988,mg N_L,adm,1,1,7/14/2017 11:34
D95424-1,TKN Cu,0.369023,0.705,mg N_L,adm,1,1,7/14/2017 11:36
D95431-2,TKN Cu,0.409961,0.932,mg N_L,adm,1,1,7/14/2017 11:38
D95432-1,TKN Cu,0.366426,0.69,mg N_L,adm,1,1,7/14/2017 11:40
GP20734-S1,TKN Cu,0.560678,1.776,mg N_L,adm,1,1,7/14/2017 11:41
D95432-2,TKN Cu,0.286727,0.252,mg N_L,adm,1,1,7/14/2017 11:43
D95432-3,TKN Cu,0.295525,0.3,mg N_L,adm,1,1,7/14/2017 11:45
D95434-1,TKN Cu,0.517688,38.344,mg N_L,adm,25,1,7/14/2017 11:47
D95436-1,TKN Cu,0.799752,31.458,mg N_L,adm,10,1,7/14/2017 11:49
D95436-3,TKN Cu,0.468441,12.575,mg N_L,adm,1,10,7/14/2017 12:43
D95436-4,TKN Cu,0.541833,16.697,mg N_L,adm,1,10,7/14/2017 12:44
CCV,TKN Cu,0.608318,2.046,mg N_L,adm,1,1,7/14/2017 11:54
CCB,TKN Cu,0.242648,0.011,mg N_L,adm,1,1,7/14/2017 11:56
D95436-5,TKN Cu,0.789662,3.087,mg N_L,adm,1,1,7/14/2017 11:57
D95437-1,TKN Cu,0.374153,7.33,mg N_L,adm,1,10,7/14/2017 12:45
D95444-1,TKN Cu,0.299107,0.32,mg N_L,adm,1,1,7/14/2017 12:01
D95444-2,TKN Cu,0.459966,1.21,mg N_L,adm,1,1,7/14/2017 12:03
D95444-3,TKN Cu,0.473033,1.283,mg N_L,adm,1,1,7/14/2017 12:05
D95448-1,TKN Cu,0.324543,0.459,mg N_L,adm,1,1,7/14/2017 12:06
GP20734-S2,TKN Cu,0.475123,1.295,mg N_L,adm,1,1,7/14/2017 12:08
D95461-1,TKN Cu,0.307953,3.681,mg N_L,adm,1,10,7/14/2017 12:47
D95461-2,TKN Cu,0.241373,0.004,mg N_L,adm,1,1,7/14/2017 12:11
D95461-3,TKN Cu,0.259665,0.104,mg N_L,adm,1,1,7/14/2017 12:12
CCV,TKN Cu,0.609192,2.051,mg N_L,adm,1,1,7/14/2017 12:14
CCB,TKN Cu,0.233982,-0.036,mg N_L,adm,1,1,7/14/2017 12:15
D95469-1,TKN Cu,0.331192,0.496,mg N_L,adm,1,1,7/14/2017 12:16
D95469-2,TKN Cu,0.369329,0.706,mg N_L,adm,1,1,7/14/2017 12:18
CCV,TKN Cu,0.579452,1.882,mg N_L,adm,1,1,7/14/2017 12:19
CCB,TKN Cu,0.234238,-0.035,mg N_L,adm,1,1,7/14/2017 12:20
CCV,TKN Cu,0.589553,1.94,mg N_L,adm,1,1,7/14/2017 12:40
CCB,TKN Cu,0.236152,-0.024,mg N_L,adm,1,1,7/14/2017 12:41
CCV,TKN Cu,0.574225,1.853,mg N_L,adm,1,1,7/14/2017 12:48
CCB,TKN Cu,0.230913,-0.053,mg N_L,adm,1,1,7/14/2017 12:49
