Sample ID,SEAL AQ2 Test,Absorbance,Results,Units,Analyst,Man Dil Factor,Auto Dil Factor,Date and Time
ICV,TKN Cu,0.307915,  0.368,mg N_L,adm,1,1,07/17/2017 10:32:24
MB,TKN Cu,0.230491, -0.055,mg N_L,adm,1,1,07/17/2017 10:34:11
BS,TKN Cu,0.412524,  0.946,mg N_L,adm,1,1,07/17/2017 10:35:59
D95582-1,TKN Cu,0.412524,  0.946,mg N_L,adm,1,1,07/17/2017 10:35:59
D95469-3,TKN Cu,0.345833,  0.577,mg N_L,adm,1,1,07/17/2017 10:37:46
D95469-4,TKN Cu,0.440215,  1.100,mg N_L,adm,1,1,07/17/2017 10:39:35
gp20746-S1,TKN Cu,0.618860,  2.106,mg N_L,adm,1,1,07/17/2017 10:41:23
D95469-5,TKN Cu,0.196231, -0.241,mg N_L,adm,1,1,07/17/2017 10:43:10
D95487-1,TKN Cu,0.292017,  0.281,mg N_L,adm,1,1,07/17/2017 10:44:58
D95487-2,TKN Cu,0.215215, -0.138,mg N_L,adm,1,1,07/17/2017 10:46:45
D95487-3,TKN Cu,0.483722,  1.343,mg N_L,adm,1,1,07/17/2017 10:48:33
D95528-1,TKN Cu,0.865345, 35.281,mg N_L,adm,1,10.00,07/17/2017 12:13:08
D95538-1,TKN Cu,0.717334, 66.738,mg N_L,adm,25.00,1,07/17/2017 10:52:07
D95542-1,TKN Cu,0.315798, 20.561,mg N_L,adm,5.00,10.00,07/17/2017 12:14:18
CCV,TKN Cu,0.605602,  2.031,mg N_L,adm,1,1,07/17/2017 10:55:40
CCB,TKN Cu,0.214083, -0.144,mg N_L,adm,1,1,07/17/2017 10:57:27
D95542-2,TKN Cu,0.556079,  1.750,mg N_L,adm,1,1,07/17/2017 10:59:14
D95542-3,TKN Cu,0.239564, -0.006,mg N_L,adm,1,1,07/17/2017 11:01:02
D95542-4,TKN Cu,0.240051, -0.003,mg N_L,adm,1,1,07/17/2017 11:02:51
D95542-5,TKN Cu,0.921211, 19.279,mg N_L,adm,5.00,1,07/17/2017 11:04:37
D95603-1,TKN Cu,0.557525,  1.758,mg N_L,adm,1,1,07/17/2017 11:06:24
gp20746-S2,TKN Cu,0.749081,  2.852,mg N_L,adm,1,1,07/17/2017 11:08:10
D95603-2,TKN Cu,0.251937,  0.062,mg N_L,adm,1,1,07/17/2017 11:09:56
D95603-3,TKN Cu,0.255385,  0.080,mg N_L,adm,1,1,07/17/2017 11:11:43
D95625-1,TKN Cu,0.361141,  6.611,mg N_L,adm,1,10.00,07/17/2017 12:15:48
D95646-1,TKN Cu,0.314544, 20.217,mg N_L,adm,5.00,10.00,07/17/2017 12:17:09
CCV,TKN Cu,0.595191,  1.972,mg N_L,adm,1,1,07/17/2017 11:17:01
CCB,TKN Cu,0.224097, -0.090,mg N_L,adm,1,1,07/17/2017 11:18:48
D95662-1,TKN Cu,0.328791,  4.827,mg N_L,adm,1,10.00,07/17/2017 12:18:31
D95663-1,TKN Cu,0.284030, 23.698,mg N_L,adm,10.00,10.00,07/17/2017 12:19:53
MB,TKN Cu,0.224426, -0.088,mg N_L,adm,1,1,07/17/2017 11:24:12
BS,TKN Cu,0.403760,  0.900,mg N_L,adm,1,1,07/17/2017 11:25:59
D95663-3,TKN Cu,0.371685,  7.193,mg N_L,adm,1,10.00,07/17/2017 12:21:15
D95663-4,TKN Cu,0.285108, 12.144,mg N_L,adm,5.00,10.00,07/17/2017 12:22:36
D95663-5,TKN Cu,0.699736,  2.568,mg N_L,adm,1,1,07/17/2017 11:31:19
D95672-1,TKN Cu,0.223894, -0.091,mg N_L,adm,1,1,07/17/2017 11:33:06
gp20746-S3,TKN Cu,0.230904, -0.053,mg N_L,adm,1,1,07/17/2017 11:34:54
D95672-2,TKN Cu,0.240067, -0.003,mg N_L,adm,1,1,07/17/2017 11:36:42
CCV,TKN Cu,0.587182,  1.926,mg N_L,adm,1,1,07/17/2017 11:37:52
CCB,TKN Cu,0.215982, -0.134,mg N_L,adm,1,1,07/17/2017 11:39:22
D95672-3,TKN Cu,0.265034,  0.133,mg N_L,adm,1,1,07/17/2017 11:40:45
D95675-1,TKN Cu,0.240456, -0.024,mg N_L,adm,25.00,1,07/17/2017 11:42:06
D95678-27,TKN Cu,0.263371,  0.124,mg N_L,adm,1,1,07/17/2017 11:43:28
D95678-28,TKN Cu,0.246702,  0.033,mg N_L,adm,1,1,07/17/2017 11:44:50
D95678-43,TKN Cu,0.545007,  1.688,mg N_L,adm,1,1,07/17/2017 11:46:11
CCV,TKN Cu,0.578258,  1.876,mg N_L,adm,1,1,07/17/2017 11:47:33
CCB,TKN Cu,0.217180, -0.128,mg N_L,adm,1,1,07/17/2017 11:48:55
CCV,TKN Cu,0.587941,  1.930,mg N_L,adm,1,1,07/17/2017 12:09:30
CCB,TKN Cu,0.220904, -0.107,mg N_L,adm,1,1,07/17/2017 12:11:19
CCV,TKN Cu,0.575932,  1.862,mg N_L,adm,1,1,07/17/2017 12:23:58
CCB,TKN Cu,0.225867, -0.080,mg N_L,adm,1,1,07/17/2017 12:25:20
